epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0441,0.90645,2.53524,1.32847,0.3529,0.69563,0.47572,0.36651,0.74733,2.29461,1.31861,0.00036931,0.00036931,0.00036931
2,44.9462,0.8808,1.88892,1.27088,0.57142,0.6424,0.64896,0.51605,0.68589,2.01485,1.27931,0.000724999,0.000724999,0.000724999
3,63.2737,0.89676,1.70764,1.29507,0.40425,0.55107,0.49564,0.36991,0.83522,1.92989,1.34712,0.00106602,0.00106602,0.00106602
4,88.3363,0.86475,1.50877,1.24911,0.56472,0.65278,0.59386,0.42064,0.89999,1.77727,1.4157,0.00104501,0.00104501,0.00104501
5,130.742,0.84663,1.3827,1.25427,0.60227,0.60816,0.6219,0.46089,0.81754,1.43062,1.32519,0.00102301,0.00102301,0.00102301
6,170.769,0.8272,1.30019,1.24038,0.61679,0.58918,0.67995,0.54157,0.7984,1.20915,1.34976,0.00100101,0.00100101,0.00100101
7,211.154,0.79791,1.24322,1.20597,0.56099,0.76134,0.60748,0.46793,0.73323,1.26925,1.26463,0.000979013,0.000979013,0.000979013
8,252.554,0.77227,1.16988,1.20003,0.60271,0.64297,0.62533,0.52711,0.66973,1.32635,1.20865,0.000957015,0.000957015,0.000957015
9,292.446,0.77719,1.13139,1.18885,0.71863,0.75248,0.72682,0.5814,0.6907,1.21334,1.23948,0.000935018,0.000935018,0.000935018
10,330.723,0.72466,1.05849,1.15101,0.6514,0.74465,0.69599,0.57929,0.63566,1.15022,1.1533,0.00091302,0.00091302,0.00091302
11,369.755,0.74016,1.02987,1.17253,0.75546,0.66609,0.73613,0.60315,0.64822,1.03843,1.21647,0.000891022,0.000891022,0.000891022
12,411.018,0.74018,0.9956,1.17082,0.6755,0.63359,0.65027,0.54712,0.6172,1.22136,1.19774,0.000869024,0.000869024,0.000869024
13,449.91,0.72305,0.98273,1.16346,0.64813,0.7273,0.70429,0.59797,0.61667,1.05397,1.19607,0.000847026,0.000847026,0.000847026
14,487.905,0.70271,0.95468,1.15229,0.76424,0.65872,0.68303,0.55926,0.59668,1.11941,1.1881,0.000825029,0.000825029,0.000825029
